p,d,q,P,D,Q,s,MSE,MAE,R2,AIC,BIC,fit_time,status
48,0,36,0,0,0,288,2.6716726060703604e+148,1.542279065540898e+73,-2.261838604257987e+151,-81801.46164701034,-81104.98648516921,2323.696731567383,ok
48,0,48,0,0,0,288,0.0010781903505797201,0.010180550533976103,0.08720381676307876,-89525.33985796923,-88736.0073555442,2558.400584936142,ok
48,0,60,0,0,0,288,0.0010781393041365238,0.010179397528002627,0.08724703269289336,-89435.51013358755,-88553.3956775043,3989.4776203632355,ok
60,0,12,0,0,0,288,0.0010775199429547393,0.010157681938188792,0.08777138400291384,-89453.31500632993,-88849.7584076137,2728.050611257553,ok
36,0,72,0,0,0,288,0.0010785559975471336,0.010202075722992669,0.08689425996164035,-89400.48981232334,-88518.45610708462,10726.903351306915,ok
60,0,36,0,0,0,288,5.43770855114216e+114,2.487985263484828e+56,-4.6035652316574283e+117,-79985.43189637495,-79196.16557497681,4036.6266009807587,ok
48,0,72,0,0,0,288,0.0010780848015639142,0.010198676979035806,0.08729317458261432,-89388.41991058162,-88413.54055215989,7092.295213222504,ok
60,0,48,0,0,0,288,0.001077791921557036,0.010210030653991741,0.08754112685957627,-89456.17811953522,-88574.05693679613,4557.869688510895,ok
60,0,60,0,0,0,288,0.001077956402246785,0.010192320831059877,0.08740187747217598,-89416.80850031333,-88441.83989095816,5774.011760234833,ok
72,0,12,0,0,0,288,0.0010773155281145713,0.010143625056458707,0.08794444165066784,-89377.44246369229,-88681.09475053896,4997.570412874222,ok
72,0,24,0,0,0,288,0.0010775261744826153,0.010156346461607917,0.08776610839007071,-89361.11428028399,-88571.9202053769,7009.289484500885,ok
12,1,12,0,0,0,288,0.0026672546181156194,0.03092751526687892,-1.258098334703074,-87000.75392952029,-86768.53546093339,102.8843731880188,ok
12,1,24,0,0,0,288,0.0028143192621987267,0.032047047248955976,-1.382603294088009,-86892.40668113927,-86567.33049311978,302.5403673648834,ok
60,0,72,0,0,0,288,0.0010782288265483015,0.01019653302976205,0.08717124299978307,-89376.15268441747,-88308.4276728127,8512.53275179863,ok
12,1,36,0,0,0,288,0.002854434248944284,0.03222204813581695,-1.4165646505147809,-86842.39510013629,-86424.47817279196,906.3869144916534,ok
72,0,48,0,0,0,288,0.0010788278506597472,0.01041849519358157,0.08666410905789557,-89346.10325384955,-88371.2164554349,7130.000009298325,ok
12,1,48,0,0,0,288,0.0028181250812316125,0.03194540102445346,-1.3858253013017077,-86767.19622825236,-86256.45555971334,1963.6906616687775,ok
24,1,24,0,0,0,288,0.002795202305407628,0.031762747856587635,-1.3664188743474335,-86908.15291728299,-86490.19781840079,372.00680899620056,ok
24,1,36,0,0,0,288,0.0024521897441938086,0.029714979374532397,-1.0760243660772124,-86799.8695496587,-86289.08219401563,1114.939876317978,ok
12,1,60,0,0,0,288,0.002817262888304768,0.03203120842204069,-1.3850953685839698,-86679.03452040705,-86075.4871268599,3545.4555175304413,ok
72,0,60,0,0,0,288,0.0010781143131941774,0.010183193371939422,0.08726819003007136,-89340.58490915544,-88272.85174898701,7937.291502714157,ok
24,1,48,0,0,0,288,0.0028281664215124886,0.03200510278330332,-1.3943263021482082,-86727.9431594906,-86124.34055121722,2244.9389090538025,ok
