|num_files_total|count_moving_mean|count_moving_std|files_size_MB_total|size_moving_mean|size_moving_std
2025-07-06 08:30:00|131|1161.1666666666667|1226.1669642599438|12775.493|5785.488405499999|11153.308330580801
2025-07-06 08:35:00|68|1159.6666666666667|1227.6119710703272|52.88034|5657.032550499999|11214.675053594136
2025-07-06 08:40:00|86|1160.5|1226.812610718607|1725.3097|5636.325292166665|11222.321002957306
2025-07-06 08:45:00|1488|1161.5|1227.0980178675898|1482.2168|5322.112525499999|11286.63780509457
2025-07-06 08:50:00|101|800.5|702.0464242613879|140.58237|5250.645817999999|11319.17407641518
2025-07-06 08:55:00|1460|914.6666666666666|687.2397138134875|109.37856|5247.026412999999|11320.959145688077
2025-07-06 09:00:00|1571|1019.75|682.7700431464482|264.4167|4987.509504666666|11403.07989889498
2025-07-06 09:05:00|59|901.0|717.7121479205622|163.09265|4921.015567166665|11430.986059084486
2025-07-06 09:10:00|238|797.4166666666666|716.0899458909329|15131.018|6155.678642166666|11685.571847105266
2025-07-06 09:15:00|1473|800.6666666666666|719.3229560854664|251.54282|2892.5490438333322|5251.590467700657
2025-07-06 09:20:00|3061|932.6666666666666|959.8424428787962|1049.5035|2772.002218833332|5278.054617491822
2025-07-06 09:25:00|1472|934.0|960.6462786724844|154.16156|2774.966333333332|5276.4387566417045
2025-07-06 09:30:00|108|932.0833333333334|962.4153760516432|34.84926|1713.2460216666652|4266.354343218489
2025-07-06 09:35:00|3413|1210.8333333333333|1154.6178299910996|628.8718|1761.2453099999987|4249.181517726621
2025-07-06 09:40:00|1484|1327.3333333333333|1100.0441588932579|1185.2952|1716.2441016666653|4252.454960828349
2025-07-06 09:45:00|1492|1327.6666666666667|1100.0978744336146|1503.5364|1718.020734999999|4252.352750311728
2025-07-06 09:50:00|124|1329.5833333333333|1097.7840041178379|8264.543|2395.017454166665|4610.031456425302
2025-07-06 09:55:00|67|1213.5|1154.9038133896004|1985.6954|2551.377190833332|4556.975764533804
2025-07-06 10:00:00|1560|1212.5833333333333|1154.5985889109575|2168.1187|2710.0190241666655|4502.938447813785
2025-07-06 10:05:00|1476|1330.6666666666667|1096.9124713016045|807.19165|2763.6939408333315|4473.562211005475
2025-07-06 10:10:00|1511|1436.75|1041.8053495560775|138.39465|1514.3086616666653|2243.177058741882
2025-07-06 10:15:00|230|1333.1666666666667|1098.143874770967|2886.8833|1733.920368333332|2237.3057748506335
2025-07-06 10:20:00|1497|1202.8333333333333|958.346666573926|122.9842|1656.7104266666654|2278.677064751291
2025-07-06 10:25:00|1192|1179.5|954.5986781698676|2640.6765|1863.9200049999988|2242.3884839845537
2025-07-06 10:30:00|1545|1299.25|896.3178337458942|140.83507|1872.7521558333322|2234.72497930691
2025-07-06 10:35:00|127|1025.4166666666667|663.5755020867766|3442.9883|2107.2618641666654|2239.9760273414727
2025-07-06 10:40:00|1515|1028.0|665.5804029020788|1574.4761|2139.6936058333317|2228.200149324827
2025-07-06 10:45:00|77|910.0833333333334|700.3390683133994|31887.898|4671.723739166665|8853.507186385881
2025-07-06 10:50:00|78|906.25|705.1422970514028|22.10076|3984.853552499999|8869.14795672285
2025-07-06 10:55:00|4170|1248.1666666666667|1128.7290385315093|995.12305|3902.305856666666|8894.021106923845
2025-07-06 11:00:00|207|1135.4166666666667|1161.838625810084|1290.4628|3829.167864999998|8913.166231749958
2025-07-06 11:05:00|61|1017.5|1195.4489837409596|162.3811|3775.4336524999994|8934.957860060991
